epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,44802.8,0.50932,0.67194,1.45087,0.89093,0.56446,0.61679,0.56464,0.39612,0.52871,1.24151,0.002212,0.002212,0.002212
120,45350.8,0.50329,0.66393,1.44452,0.89108,0.56457,0.6169,0.56474,0.39575,0.52839,1.24119,0.002146,0.002146,0.002146
121,45898.6,0.50295,0.65955,1.44176,0.89032,0.56465,0.6171,0.56472,0.39545,0.52803,1.24121,0.00208,0.00208,0.00208
122,46449.6,0.4977,0.65951,1.44504,0.89152,0.56411,0.61738,0.56476,0.39521,0.52759,1.24099,0.002014,0.002014,0.002014
123,47001.4,0.50523,0.66052,1.44756,0.8926,0.56416,0.61732,0.56497,0.39491,0.52704,1.24077,0.001948,0.001948,0.001948
124,47558.7,0.49708,0.65286,1.44059,0.8932,0.56461,0.61747,0.56517,0.39458,0.5266,1.2406,0.001882,0.001882,0.001882
125,48108.2,0.49766,0.65667,1.44535,0.89286,0.56531,0.61766,0.56528,0.39435,0.52624,1.24049,0.001816,0.001816,0.001816
126,48655.5,0.50113,0.657,1.44408,0.89078,0.56542,0.6177,0.56558,0.39399,0.52596,1.2403,0.00175,0.00175,0.00175
127,49204.2,0.49361,0.64217,1.44515,0.89123,0.5656,0.61779,0.56585,0.39367,0.52553,1.24026,0.001684,0.001684,0.001684
128,49751.1,0.49385,0.64672,1.43708,0.89046,0.56605,0.61761,0.56593,0.3933,0.52512,1.2402,0.001618,0.001618,0.001618
129,50297.9,0.49412,0.6485,1.43126,0.89053,0.56579,0.61764,0.56607,0.39308,0.52481,1.24021,0.001552,0.001552,0.001552
130,50845.7,0.49295,0.64828,1.44224,0.89102,0.56568,0.61775,0.56612,0.39278,0.5244,1.23998,0.001486,0.001486,0.001486
131,51392.6,0.48939,0.64235,1.43471,0.89218,0.56546,0.61787,0.56631,0.39254,0.52401,1.23985,0.00142,0.00142,0.00142
132,51944.6,0.48404,0.63308,1.43012,0.89062,0.56579,0.61798,0.56642,0.39223,0.52351,1.23966,0.001354,0.001354,0.001354
133,52500.4,0.48635,0.65007,1.43296,0.88991,0.56601,0.61804,0.56656,0.39192,0.5231,1.23941,0.001288,0.001288,0.001288
134,53046.4,0.48873,0.63904,1.43151,0.89034,0.56606,0.61833,0.56671,0.39164,0.52267,1.23926,0.001222,0.001222,0.001222
135,53593,0.48501,0.6353,1.4208,0.89087,0.56598,0.61839,0.56673,0.39135,0.52228,1.23901,0.001156,0.001156,0.001156
136,54145.2,0.48398,0.6325,1.42791,0.89062,0.56617,0.61841,0.56682,0.39106,0.52181,1.23872,0.00109,0.00109,0.00109
137,54695.5,0.48179,0.62536,1.42117,0.89097,0.56631,0.61862,0.56693,0.39071,0.52133,1.23846,0.001024,0.001024,0.001024
138,55242.5,0.48156,0.61899,1.43156,0.89124,0.56642,0.61879,0.56699,0.39041,0.52093,1.23829,0.000958,0.000958,0.000958
139,55789.1,0.48033,0.62389,1.43005,0.89144,0.56658,0.61882,0.5671,0.39012,0.52059,1.23795,0.000892,0.000892,0.000892
140,56336.4,0.47891,0.62407,1.42834,0.89151,0.56671,0.61892,0.56726,0.38982,0.52026,1.23761,0.000826,0.000826,0.000826
141,56916,0.39703,0.49637,1.2925,0.89146,0.56673,0.61918,0.56747,0.3895,0.51973,1.23731,0.00076,0.00076,0.00076
142,57468.1,0.38694,0.49006,1.27757,0.89119,0.56684,0.61938,0.5677,0.38906,0.51913,1.23692,0.000694,0.000694,0.000694
143,814.207,0.49524,0.65815,1.4591,0.89101,0.56685,0.61938,0.56772,0.39188,0.52241,1.23972,0.000628,0.000628,0.000628
144,1635.25,0.48707,0.64967,1.44209,0.89173,0.56674,0.61939,0.56776,0.39185,0.52237,1.23977,0.000562,0.000562,0.000562
145,2442.49,0.48656,0.64576,1.44575,0.89125,0.56666,0.61938,0.56777,0.39182,0.52226,1.23984,0.000496,0.000496,0.000496
146,3244.76,0.48793,0.64827,1.44863,0.8913,0.56671,0.61937,0.56774,0.39181,0.52219,1.23987,0.00043,0.00043,0.00043
147,4052.43,0.48883,0.65642,1.4441,0.89077,0.56681,0.61936,0.56782,0.39176,0.52216,1.23984,0.000364,0.000364,0.000364
148,4869.87,0.48533,0.64348,1.44453,0.89125,0.56677,0.61929,0.56775,0.39171,0.5221,1.23986,0.000298,0.000298,0.000298
149,5667.5,0.48523,0.64718,1.43728,0.89086,0.56682,0.61929,0.56774,0.39168,0.52207,1.23982,0.000232,0.000232,0.000232
150,6466.93,0.47852,0.63766,1.42569,0.8907,0.56684,0.6193,0.5677,0.39163,0.52199,1.23979,0.000166,0.000166,0.000166
